"event","name","country","medal","day","win","sport","gender","type"
"Women's Team Rapid - PI","","Vietnam","Silver",6,1,"Chess","Women","Team"
"Men's Team","","Malaysia","Gold",6,1,"Football-5-A-Side","Men","Team"
"Men's Team","","Thailand","Silver",6,1,"Football-5-A-Side","Men","Team"
"Men's Team","","Vietnam","Bronze",6,1,"Football-5-A-Side","Men","Team"
"Women's Team","","Myanmar","Bronze",6,1,"Goalball","Women","Team"
"Men's Up to 107.00 kg","MOHD SAAD MOHD SHAHMIL","Malaysia","Gold",6,1,"Powerlifting","Men","Singles"
"Men's Up to 107.00 kg","PRIAMBODO ATMAJI","Indonesia","Silver",6,1,"Powerlifting","Men","Singles"
"Men's Up to 107.00 kg","JAITHON OPAS","Thailand","Bronze",6,1,"Powerlifting","Men","Singles"
"Men's Up to 97.00 kg","JONG YEE KHIE","Malaysia","Gold",6,1,"Powerlifting","Men","Singles"
"Men's Up to 97.00 kg","TONGSANG PRAKIT","Thailand","Silver",6,1,"Powerlifting","Men","Singles"
"Men's Up to 97.00 kg","R. NADESAN KALAI VANEN","Singapore","Bronze",6,1,"Powerlifting","Men","Singles"
"Women's Over 86.00 kg","ANCHETA ADELINE","Philippines","Gold",6,1,"Powerlifting","Women","Singles"
"Women's Over 86.00 kg","PANNA NETSUDA","Thailand","Silver",6,1,"Powerlifting","Women","Singles"
"Women's Over 86.00 kg","MORTADZA NORFARIZA","Malaysia","Bronze",6,1,"Powerlifting","Women","Singles"
"Women's Up to 61.00 kg","MOTNOK HAT","Thailand","Gold",6,1,"Powerlifting","Women","Singles"
"Women's Up to 61.00 kg","NGUYEN THI THANH THUY","Vietnam","Silver",6,1,"Powerlifting","Women","Singles"
"Women's Up to 61.00 kg","AHMAD BIBIANA","Malaysia","Bronze",6,1,"Powerlifting","Women","Singles"
"Women's Up to 67.00 kg","AGON SONA","Malaysia","Gold",6,1,"Powerlifting","Women","Singles"
"Women's Up to 73.00 kg","PURBA NURTANI","Indonesia","Gold",6,1,"Powerlifting","Women","Singles"
